name,rating,vicinity,user_ratings_total
E7PLAY 三重館,4.3,三重區中央南路63號B1~B3,7480
台北市臨江街觀光夜市｜通化街夜市 Taiwan Taipei Night Market,4.1,大安區臨江街,20297
百齡左岸河濱公園,4.1,士林區通河東街二段,3916
國家鐵道博物館籌備處(國定古蹟臺北機廠),4.4,信義區市民大道五段50號,747
台北國際藝術村 Taipei Artist Village,3.9,中正區北平東路7號,932
郵政博物館,4.3,中正區重慶南路二段45號,2270
丹鳳公園,4.1,北投區公舘路255巷19弄20號,162
臺北市國父史蹟館(逸仙公園),4.1,中正區中山北路一段46號,1682
大稻埕慈聖宮天上聖母,4.3,大同區保安街49巷17號,1075
台北清真寺,4.6,大安區新生南路二段62號,1533
奉天宮,4.6,信義區福德街221巷12號,2204
撫順公園,3.8,中山區中山北路三段,206
劍潭公園,4.2,士林區中山北路四段,580
台北市鄉土教育中心,4.4,萬華區廣州街101號,557
雨前樓,4.6,中山區濱江街5號,31
東園公園,3.6,萬華區,303
國立臺灣藝術教育館,4.2,中正區南海路47號,1136
花博公園新生園區,4.2,中山區新生北路三段105號,7886
樟樹公園,3.8,文山區忠順街一段26巷,151
天母生活市集,3.9,士林區天母西路中山北路七段,4723
袖珍博物館,4.3,中山區建國北路一段96號B1,4026
道南河濱公園,4.3,文山區台北市立動物園至寶橋間,3164
象山,4.6,信義區信義路五段150巷401弄31號,3518
順興公園綠地,3.8,文山區,31
臺北士林官邸,4.3,士林區福林路60號,17192
天主教聖家堂,4.6,大安區新生南路二段50號,798
水玄宮,3.3,南港區,3
軍艦岩親山步道,4.4,北投區奇岩路,713
美堤河濱公園,4.4,中山區樂群一路基隆河基16號水門,7937
臺北故事館,4.1,中山區中山北路三段181-1號,617
南天宮,3.5,信義區福德街221巷199之1號,11
中央研究院民族學研究所博物館,4.4,南港區研究院路二段128號,74
明美公園,4.2,內湖區南京東路六段,616
北勢湖環保公園,4.1,內湖區,49
監察院,3.6,中正區忠孝東路一段2號,224
中428公園,3.7,中山區樂群二路30巷,38
三德公園,4.0,三重區龍門路274巷36號,455
象山公園,4.4,信義區信義路五段150巷,5652
歷史文物陳列館 Museum of Institute of History and Philology,4.7,南港區研究院路二段130號,340
勸業銀行舊廈,4.5,中正區襄陽路25號,3944
西園公園,3.8,萬華區東園街73巷,168
寶藏巖觀音亭,4.2,中正區汀州路三段230巷23號,975
郭元益糕餅博物館,4.2,士林區文林路546號4樓,1031
台北監獄圍牆遺跡,3.9,大安區,208
內湖庄役場會議室,4.2,內湖區內湖路二段342號,255
基督教浸信會懷恩堂,4.6,大安區新生南路三段90號,871
國立臺灣大學醉月湖,4.4,大安區羅斯福路四段1號,4209
林安泰古厝,4.5,中山區濱江街5號,4329
康湖二號公園,3.9,內湖區成功路五段450巷21弄23號,122
志成公園,4.1,Taiwan,968
彩虹橋,4.3,松山區松河街180號,3540
林秀俊墓,4.1,內湖區文德段五小段333地號,74
大安森林公園,4.5,大安區新生南路二段1號,29597
臺北市建國假日花市,4.4,大安區建國南路一段,15959
國軍歷史文物館,4.1,中正區貴陽街一段243號,776
崇仰公園,4.3,北投區崇仰一路7號,111
芝山岩,4.4,士林區至誠路一段,848
艋舺老街,4.0,萬華區貴陽街二段,943
中正紀念堂,4.4,中正區中山南路21號,58911
